,string,label,clause1,operator,clause2
0,W = HZ_,0,0,6,0
1,CDDth_I < LRCqB,0,0,3,0
2,xS_vPr > j__vj_dB,0,0,2,0
3,Vbpuw <= erB__,0,0,5,0
4,_dXYEO >= CNGrXLVa,0,0,4,0
5,uT_RTWss <= J,0,0,5,0
6,JJFMYibGbP = Y,0,0,6,0
7,h >= Zq_,0,0,4,0
8,yvFyhhRj_ > _,0,0,2,0
9,ENs > bv,0,0,2,0
10,VOuOHB > kDIVaZKv,0,0,2,0
11,myo < tUSB_j,0,0,3,0
12,uKRy = _l,0,0,6,0
13,Afx = nrejclpgRr,0,0,6,0
14,c_jbfBkNW = id__dxIVB,0,0,6,0
15,CEiYr = vRo,0,0,6,0
16,bw < ad,0,0,3,0
17,nhyfQM_yk = Vw_EFMh,0,0,6,0
18,vGLK = Ig,0,0,6,0
19,zUzU = _ECb,0,0,6,0
20,_XS = a_seURMm,0,0,6,0
21,_ANN_CrDGe = b,0,0,6,0
22,a > b_tej_Gqk,0,0,2,0
23,Iy < JdHw,0,0,3,0
24,FnWUY < NHSXAgw,0,0,3,0
25,__VOTb_zU >= iAIW_,0,0,4,0
26,nV__rj = JQ,0,0,6,0
27,gRbGtb <= rwfjGLPHlk,0,0,5,0
28,cEErS_ = fdU__X,0,0,6,0
29,gRGdHy <= s,0,0,5,0
30,__CdaPFZc <= uDTdWf_Nil,0,0,5,0
31,_ <= cBj,0,0,5,0
32,_Ny < Xteg_j,0,0,3,0
33,enk < TUh_dWpI,0,0,3,0
34,Uv_JxdeyT_ >= mkog,0,0,4,0
35,hhD_Ye <= v_uqDCfP,0,0,5,0
36,hsP > HgxTl,0,0,2,0
37,JXJpv__ < G_j_b,0,0,3,0
38,B > ATNSw_R,0,0,2,0
39,f__FSq = D_y,0,0,6,0
40,jL_US < bX__,0,0,3,0
41,_KH <= sJogpVlPLp,0,0,5,0
42,KnA_hMIM > Xz_u,0,0,2,0
43,g > vIMh_g,0,0,2,0
44,SjidR > zhYuUR,0,0,2,0
45,R_ <= TjfW,0,0,5,0
